"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"石川県","野々市市","172120","17-1-000","公共下水道","法適用","R6","98.0725","147.0918","149.9828","2.0","経費回収率90%以上100%未満","未登録","ok",""
"石川県","能美市","172111","17-5-000","農業集落排水","法適用","R6","90.0439","143.4344","159.2939","11.1","経費回収率90%以上100%未満","未登録","ok",""
"石川県","小松市","172031","17-5-000","農業集落排水","法適用","R6","83.4678","133.8464","160.3569","19.8","経費回収率80%以上90%未満","未登録","ok",""
"石川県","内灘町","173657","17-1-000","公共下水道","法適用","R6","83.0953","118.1642","142.2033","20.3","経費回収率80%以上90%未満","未登録","ok",""
"石川県","宝達志水町","173860","18-1-000","個別排水処理施設","法適用","R6","71.77","212.7989","296.5013","39.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"石川県","穴水町","174611","17-1-000","公共下水道","法非適用","R6","69.7063","209.4614","300.4914","43.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"石川県","輪島市","172049","17-4-000","特定環境保全公共下水道","法適用","R6","61.735","191.1147","309.5727","62.0","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"石川県","羽咋市","172073","18-0-000","特定地域生活排水処理施設","法適用","R6","61.2836","144.9288","236.4887","63.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"石川県","加賀市","172065","17-9-000","小規模集合排水処理施設","法適用","R6","61.0215","134.3593","220.1835","63.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"石川県","川北町","173240","17-5-000","農業集落排水","法適用","R6","60.4012","90.6014","149.9993","65.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"石川県","七尾市","172022","17-5-000","農業集落排水","法適用","R6","56.7186","163.9258","289.0162","76.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"石川県","津幡町","173614","17-9-000","小規模集合排水処理施設","法適用","R6","54.8428","163.6023","298.3114","82.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"石川県","白山市","172103","17-4-000","特定環境保全公共下水道","法適用","R6","52.2914","128.9275","246.5557","91.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"石川県","能登町","174637","18-0-000","特定地域生活排水処理施設","法適用","R6","47.5069","106.636","224.464","110.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"石川県","中能登町","174076","18-1-000","個別排水処理施設","法適用","R6","41.7419","168.3012","403.1952","139.6","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"石川県","志賀町","173843","18-0-000","特定地域生活排水処理施設","法適用","R6","40.5978","61.4677","151.4063","146.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"石川県","珠洲市","172057","17-1-000","公共下水道","法適用","R6","40.1782","186.5265","464.2485","148.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"石川県","かほく市","172090","18-1-000","個別排水処理施設","法適用","R6","26.4698","112.86","426.3729","277.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"石川県","金沢市","172014","17-4-000","特定環境保全公共下水道","法適用","R6","23.4861","104.0471","443.016","325.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
