"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"滋賀県","大津市","252018","17-1-000","公共下水道","法適用","R6","139.9048","180.694","129.155","0.0","経費回収率100%以上","施行年月日が変化（1事業）｜公共下水道 R5 2014年4月1日 → R6 2009年4月1日","ok",""
"滋賀県","高島市","252123","17-1-000","公共下水道","法適用","R6","121.0602","173.0478","142.9436","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","草津市","252069","17-1-000","公共下水道","法適用","R6","116.6877","134.2398","115.042","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","多賀町","254436","17-1-000","公共下水道","法適用","R6","101.9678","177.446","174.0215","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","野洲市","252107","17-1-000","公共下水道","法適用","R6","101.8065","162.6156","159.7301","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","東近江市","252131","17-1-000","公共下水道","法適用","R6","101.0415","156.1798","154.57","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","愛荘町","254258","17-4-000","特定環境保全公共下水道","法適用","R6","101.0214","145.3989","143.9288","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"滋賀県","彦根市","252026","17-1-000","公共下水道","法適用","R6","99.8372","153.1801","153.43","0.2","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","日野町","253839","17-1-000","公共下水道","法適用","R6","99.6609","151.5204","152.0358","0.3","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","長浜市","252034","17-1-000","公共下水道","法適用","R6","99.2934","152.1536","153.2363","0.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","栗東市","252085","17-1-000","公共下水道","法適用","R6","98.8703","125.5087","126.9429","1.1","経費回収率90%以上100%未満","比較対象外","ok",""
"滋賀県","近江八幡市","252042","17-1-000","公共下水道","法適用","R6","98.7177","148.3481","150.2751","1.3","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","米原市","252140","17-1-000","公共下水道","法適用","R6","98.5272","156.2089","158.544","1.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","守山市","252077","17-1-000","公共下水道","法適用","R6","98.0078","153.3807","156.4985","2.0","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","甲賀市","252093","17-1-000","公共下水道","法適用","R6","96.3874","155.9315","161.7758","3.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","湖南市","252115","17-1-000","公共下水道","法適用","R6","96.1914","156.1751","162.3587","4.0","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"滋賀県","竜王町","253847","17-4-000","特定環境保全公共下水道","法適用","R6","90.4727","135.7091","150","10.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"滋賀県","甲良町","254428","17-4-000","特定環境保全公共下水道","法適用","R6","86.7259","139.0328","160.3129","15.3","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"滋賀県","豊郷町","254410","17-4-000","特定環境保全公共下水道","法適用","R6","83.6095","146.301","174.9813","19.6","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
