"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"奈良県","川西町","293610","17-1-000","公共下水道","法適用","R6","117.2549","76.1022","64.9032","0.0","経費回収率100%以上","未登録","ok",""
"奈良県","大和郡山市","292036","17-4-000","特定環境保全公共下水道","法適用","R6","100","168.7889","168.7889","0.0","経費回収率100%以上","未登録","ok",""
"奈良県","吉野町","294411","17-4-000","特定環境保全公共下水道","法非適用","R6","98.5657","144.56","146.6636","1.5","経費回収率90%以上100%未満","未登録","ok",""
"奈良県","天理市","292044","17-4-000","特定環境保全公共下水道","法適用","R6","94.3395","141.5092","150","6.0","経費回収率90%以上100%未満","未登録","ok",""
"奈良県","桜井市","292061","17-1-000","公共下水道","法適用","R6","93.7866","140.6798","149.9999","6.6","経費回収率90%以上100%未満","未登録","ok",""
"奈良県","橿原市","292052","17-1-000","公共下水道","法適用","R6","90.4394","136.0271","150.4069","10.6","経費回収率90%以上100%未満","未登録","ok",""
"奈良県","王寺町","294250","17-1-000","公共下水道","法適用","R6","89.2586","133.8921","150.0048","12.0","経費回収率80%以上90%未満","未登録","ok",""
"奈良県","大淀町","294420","17-4-000","特定環境保全公共下水道","法適用","R6","89.2045","133.8273","150.0229","12.1","経費回収率80%以上90%未満","未登録","ok",""
"奈良県","田原本町","293636","17-1-000","公共下水道","法適用","R6","86.9424","132.2782","152.1446","15.0","経費回収率80%以上90%未満","未登録","ok",""
"奈良県","三郷町","293431","17-1-000","公共下水道","法適用","R6","82.7176","124.3533","150.3348","20.9","経費回収率80%以上90%未満","未登録","ok",""
"奈良県","大和高田市","292028","17-1-000","公共下水道","法適用","R6","82.1976","125.8937","153.1598","21.7","経費回収率80%以上90%未満","未登録","ok",""
"奈良県","明日香村","294021","17-1-000","公共下水道","法適用","R6","81.7512","122.6266","149.9997","22.3","経費回収率80%以上90%未満","未登録","ok",""
"奈良県","広陵町","294268","17-1-000","公共下水道","法適用","R6","81.3818","122.1911","150.1455","22.9","経費回収率80%以上90%未満","未登録","ok",""
"奈良県","香芝市","292109","17-1-000","公共下水道","法適用","R6","80.9543","124.061","153.2481","23.5","経費回収率80%以上90%未満","未登録","ok",""
"奈良県","上牧町","294241","17-1-000","公共下水道","法適用","R6","79.9106","119.8658","149.9998","25.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","五條市","292079","17-1-000","公共下水道","法適用","R6","78.2205","117.3309","150.0002","27.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","三宅町","293628","17-1-000","公共下水道","法適用","R6","76.8169","115.2128","149.9837","30.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","斑鳩町","293440","17-1-000","公共下水道","法適用","R6","73.6659","120.4305","163.482","35.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","山添村","293229","17-8-000","簡易排水","法適用","R6","67.1851","108","160.75","48.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","御所市","292087","17-4-000","特定環境保全公共下水道","法適用","R6","63.6845","110.9706","174.2504","57.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","安堵町","293458","17-1-000","公共下水道","法適用","R6","63.09","128.5352","203.7331","58.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","葛城市","292117","17-1-000","公共下水道","法適用","R6","58.2702","70.6491","121.2441","71.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","宇陀市","292125","17-4-000","特定環境保全公共下水道","法適用","R6","53.435","126.361","236.476","87.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","下市町","294438","17-1-000","公共下水道","法適用","R6","43.6997","115.0814","263.3461","128.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","河合町","294276","17-4-000","特定環境保全公共下水道","法適用","R6","42.3208","125.3583","296.2097","136.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","天川村","294462","17-4-000","特定環境保全公共下水道","法適用","R6","34.1077","115.7711","339.4279","193.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","奈良市","292010","17-4-000","特定環境保全公共下水道","法適用","R6","27.3933","138.3985","505.2271","265.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","高取町","294012","17-1-000","公共下水道","法適用","R6","26.2945","100.1272","380.7919","280.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","生駒市","292095","17-4-000","特定環境保全公共下水道","法適用","R6","25.5026","106.0214","415.7272","292.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","黒滝村","294446","18-0-000","特定地域生活排水処理施設","法適用","R6","21.8322","149.851","686.3759","358.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"奈良県","平群町","293423","17-5-000","農業集落排水","法非適用","R6","11.1665","136.032","1218.2195","795.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","warning","汚水処理原価が1000円/m³超"
