"項目ID","CSV列名","種類","入力項目ID","算定式・転記方法","算定条件・欠損・丸め","原資料位置（直接入力）","追跡方法"
"rowId","行識別子","識別・状態","","団体コード・事業キー・会計区分・決算年度。共同会計を配賦しない","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"operatorCode","団体コード","識別・状態","","6桁文字列。自治体と共同運営団体を識別。Excelでは文字列型で取り込む","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"operatorName","自治体・運営団体名","識別・状態","","2020年度の原資料の団体名。現在の自治体名へ置換しない","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"prefectureCode","都道府県コード","識別・状態","","団体コードの先頭2桁。運営団体の所在県で集計し、構成市町村へ複製しない","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"prefectureName","都道府県","識別・状態","","団体コードに対応する都道府県","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"businessKey","事業キー","識別・状態","","業種17・事業1・原資料の施設コード","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"businessName","事業区分","識別・状態","","公共下水道のみ。特環・流域は含めない","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"accountingType","会計区分","識別・状態","","法適用または法非適用。家庭用月額以外の金額・単価は法適用が税抜、法非適用が税込の原表ベース。移行年の会計は別行","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"fiscalYear","決算年度","識別・状態","","2020年度。カタログ年2021と区別","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"servicePopulation","処理区域内人口（人）","原値","servicePopulation","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","servicePopulation: 法適用 第10表 行番号1 列011 / servicePopulation: 法非適用 第10表 行番号1 列011","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
