"id","label","definition"
"rowId","行識別子","団体コード・事業キー・会計区分・決算年度。共同会計を配賦しない"
"operatorCode","団体コード","6桁文字列。自治体と共同運営団体を識別。Excelでは文字列型で取り込む"
"operatorName","自治体・運営団体名","2020年度の原資料の団体名。現在の自治体名へ置換しない"
"prefectureCode","都道府県コード","団体コードの先頭2桁。運営団体の所在県で集計し、構成市町村へ複製しない"
"prefectureName","都道府県","団体コードに対応する都道府県"
"businessKey","事業キー","業種17・事業1・原資料の施設コード"
"businessName","事業区分","公共下水道のみ。特環・流域は含めない"
"accountingType","会計区分","法適用または法非適用。家庭用月額以外の金額・単価は法適用が税抜、法非適用が税込の原表ベース。移行年の会計は別行"
"fiscalYear","決算年度","2020年度。カタログ年2021と区別"
"servicePopulation","処理区域内人口（人）","第10表・1行11列。欠損は空欄。家庭用料金を単価から推計しない"
"connectedPopulation","水洗化人口（人）","第10表・1行12列。欠損は空欄。家庭用料金を単価から推計しない"
"treatedVolume","年間汚水処理水量（m³/年）","第10表・1行50列。欠損は空欄。家庭用料金を単価から推計しない"
"annualBillableVolume","年間有収水量（m³/年）","第10表・1行52列。欠損は空欄。家庭用料金を単価から推計しない"
"householdFee20m3Yen","一般家庭用20m³月額（円/月・税込）","第33表・1行13列。欠損は空欄。家庭用料金を単価から推計しない"
"sewerFeeRevenue","使用料収入（千円/年）","第20表（法非適用は26表）・1行3列。欠損は空欄。家庭用料金を単価から推計しない"
"wastewaterTreatmentCost","汚水処理費（千円/年）","第32表・2行16列。欠損は空欄。家庭用料金を単価から推計しない"
"opexComponent","維持管理費分（千円/年）","第32表・1行44列。欠損は空欄。家庭用料金を単価から推計しない"
"capitalCostComponent","資本費分（千円/年）","第32表・2行8列。欠損は空欄。家庭用料金を単価から推計しない"
"expenseRecoveryRate","経費回収率（%）","使用料収入÷汚水処理費×100。既存の共通計算（小数4桁）"
"feeUnitPrice","使用料単価（円/m³）","使用料収入（千円）×1000÷年間有収水量。家庭用料金とは別"
"treatmentCost","汚水処理原価（円/m³）","汚水処理費（千円）×1000÷年間有収水量"
"operating_expense","営業費用（千円/年）","第20表26列。目的別の構成比の分母。法非適用は空欄"
"total_cost","性質別費用合計（千円/年）","第21表29列。性質別の構成比の分母。法非適用は空欄"
"comparisonEligible","費用比較対象","法適用・正の年間有収水量・都道府県識別可。費目の欠損はさらに個別除外"
