"行識別子","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","処理区域内人口（人） [servicePopulation]","水洗化人口（人） [connectedPopulation]","年間汚水処理水量（m³/年） [treatedVolume]","年間有収水量（m³/年） [annualBillableVolume]","一般家庭用20m³月額（円/月・税込） [householdFee20m3Yen]","使用料収入（千円/年） [sewerFeeRevenue]","汚水処理費（千円/年） [wastewaterTreatmentCost]","維持管理費分（千円/年） [opexComponent]","資本費分（千円/年） [capitalCostComponent]","営業費用（千円） [operating_expense]","管渠費（千円） [pipeline_expense]","ポンプ場費（千円） [pump_station_expense]","処理場費（千円） [treatment_plant_expense]","業務費（千円） [business_expense]","総係費（千円） [general_administration_expense]","職員給与費計（千円） [personnel_cost_total]","支払利息計（千円） [interest_cost_total]","減価償却費（千円） [depreciation_cost]","動力費（千円） [power_cost]","水道光熱費（千円） [water_and_utilities_cost]","通信運搬費（千円） [communications_transport_cost]","修繕費（千円） [repair_cost]","材料費（千円） [materials_cost]","薬品費（千円） [chemical_cost]","路面復旧費（千円） [road_restoration_cost]","委託料（千円） [outsourcing_cost]","流域下水道管理運営費負担金（千円） [regional_sewerage_contribution]","その他（千円） [other_cost]","費用合計（千円） [total_cost]"
"010006:17-1-000:non_legal_applied:2020","010006","北海道","17-1-000","non_legal_applied","2020","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","",""
"011002:17-1-000:legal_applied:2020","011002","札幌市","17-1-000","legal_applied","2020","1946978","1946024","269262632","201896779","1371","17814575","19248992","10888092","8360900","43055036","4484244","703886","10005574","1476449","822366","3062814","2792458","24619178","2100267","145832","22455","1950116","380210","143881","136760","9334930","0","1359907","46048808"
"012025:17-1-000:legal_applied:2020","012025","函館市","17-1-000","legal_applied","2020","224528","216080","34478928","25979228","3014","4037713","3234242","1845138","1389104","5658619","306891","177735","673687","226414","244343","356685","720927","3524083","182366","8545","4337","275150","21151","58301","0","518270","435642","297165","6402622"
"012033:17-1-000:legal_applied:2020","012033","小樽市","17-1-000","legal_applied","2020","110721","108316","17928189","11388363","2750","1777190","1666791","1141424","525367","3099493","106353","55483","833504","0","209885","79975","141476","1829811","178941","2450","1934","9976","6535","57285","8519","596239","0","391009","3304150"
"012041:17-1-000:legal_applied:2020","012041","旭川市","17-1-000","legal_applied","2020","320615","311041","42902178","31459563","3264","5133452","5118499","2665761","2452738","7745044","507211","148115","1417754","232084","718066","514810","442448","4706083","540","2252","8878","578066","931","751","0","1486538","0","481659","8222956"
"012050:17-1-000:legal_applied:2020","012050","室蘭市","17-1-000","legal_applied","2020","80160","76804","10773440","7293950","3663","1420108","1085858","682088","403770","2358416","168722","125612","583157","0","81355","122638","195368","1362806","107596","4556","2590","242288","1085","0","0","448450","0","98700","2586077"
"012068:17-1-000:legal_applied:2020","012068","釧路市","17-1-000","legal_applied","2020","157045","150787","22183960","14617495","4502","3224419","2653433","1391775","1261658","4768037","505658","205975","769271","199231","88309","233762","333326","2905311","228759","33","722","354594","37247","35561","0","665461","0","360292","5155068"
"012076:17-1-000:legal_applied:2020","012076","帯広市","17-1-000","legal_applied","2020","158197","156561","21497316","16178989","2970","2622471","2123240","1138246","984994","3589667","380524","0","302479","132541","59141","103065","342085","2251048","52958","6574","1918","214779","600","0","0","283346","431304","262413","3950090"
"012084:17-1-000:legal_applied:2020","012084","北見市","17-1-000","legal_applied","2020","103075","102258","14863635","9910210","3620","1696732","1672896","701797","971099","3389743","279492","5376","463774","81729","100003","182268","385975","2366354","93825","2967","2160","102124","4222","32374","0","372827","0","209968","3755064"
"012092:17-1-000:non_legal_applied:2020","012092","夕張市","17-1-000","non_legal_applied","2020","2038","1863","247861","188403","5105","50615","82650","82650","0","","","","","","","","","","","","","","","","","","","",""
"012106:17-1-000:legal_applied:2020","012106","岩見沢市","17-1-000","legal_applied","2020","69040","68467","9769202","6210665","3477","1181533","818110","628708","189402","2067731","144043","21084","437157","0","198209","44319","145292","1266821","83189","2074","1654","64195","7865","0","0","532758","0","138093","2286260"
"012114:17-1-000:legal_applied:2020","012114","網走市","17-1-000","legal_applied","2020","29880","29611","3976711","3394330","4331","618896","690523","330359","360164","1185976","27537","56100","170810","0","72855","36909","82969","855998","66897","0","0","19755","1936","253","0","157017","0","50920","1272654"
"012122:17-1-000:non_legal_applied:2020","012122","留萌市","17-1-000","non_legal_applied","2020","17076","15193","1739765","1513424","4820","354820","407598","243489","164109","","","","","","","","","","","","","","","","","","","",""
"012131:17-1-000:legal_applied:2020","012131","苫小牧市","17-1-000","legal_applied","2020","168481","168235","19556000","15762900","2295","2284665","2060121","1030925","1029196","3943216","176141","46077","816828","146339","16201","139517","476327","2681080","119371","4381","3485","121604","950","46968","0","699618","0","157587","4450888"
"012149:17-1-000:legal_applied:2020","012149","稚内市","17-1-000","legal_applied","2020","29191","27477","4811376","2739254","3300","449450","449450","341543","107907","961740","34369","0","279822","29190","7110","20115","101555","611240","32435","4321","655","19234","0","0","0","135484","0","153204","1078243"
"012157:17-1-000:non_legal_applied:2020","012157","美唄市","17-1-000","non_legal_applied","2020","15244","14401","1875110","1384436","4998","364486","407039","167320","239719","","","","","","","","","","","","","","","","","","","",""
"012165:17-1-000:non_legal_applied:2020","012165","芦別市","17-1-000","non_legal_applied","2020","11115","10175","1134653","908525","5042","250176","261335","105898","155437","","","","","","","","","","","","","","","","","","","",""
"012173:17-1-000:legal_applied:2020","012173","江別市","17-1-000","legal_applied","2020","116609","116062","14717194","11643988","2343","1291833","1209143","839704","369439","3036937","179895","114292","407772","0","278740","144757","168281","2040911","111463","2016","4273","164435","0","47793","11769","264208","0","256036","3215942"
"012181:17-1-000:non_legal_applied:2020","012181","赤平市","17-1-000","non_legal_applied","2020","8414","7515","810202","629698","4707","174207","169780","64868","104912","","","","","","","","","","","","","","","","","","","",""
"012190:17-1-000:legal_applied:2020","012190","紋別市","17-1-000","legal_applied","2020","19480","18751","3644595","2438952","4158","420730","341363","204721","136642","930586","8203","24482","179242","0","48218","48414","94282","619908","31703","1168","5850","24164","2716","10374","0","103326","0","90725","1032630"
"012203:17-1-000:non_legal_applied:2020","012203","士別市","17-1-000","non_legal_applied","2020","13700","13640","3593894","1337017","3131","200762","200762","55823","144939","","","","","","","","","","","","","","","","","","","",""
