"行識別子","出典ID","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","表番号","行番号","シート名","Excel行番号"
"010006:17-1-000:non_legal_applied:2020","non_legal_applied:10","010006","北海道","17-1-000","non_legal_applied","2020","10","1","2020470001000","2"
"010006:17-1-000:non_legal_applied:2020","non_legal_applied:10","010006","北海道","17-1-000","non_legal_applied","2020","10","2","2020470001000","1516"
"010006:17-1-000:non_legal_applied:2020","non_legal_applied:26","010006","北海道","17-1-000","non_legal_applied","2020","26","1","2020470002600","2289"
"010006:17-1-000:non_legal_applied:2020","non_legal_applied:26","010006","北海道","17-1-000","non_legal_applied","2020","26","2","2020470002600","6090"
"010006:17-1-000:non_legal_applied:2020","non_legal_applied:32","010006","北海道","17-1-000","non_legal_applied","2020","32","1","2020470003200","2"
"010006:17-1-000:non_legal_applied:2020","non_legal_applied:32","010006","北海道","17-1-000","non_legal_applied","2020","32","2","2020470003200","1516"
"010006:17-1-000:non_legal_applied:2020","non_legal_applied:33","010006","北海道","17-1-000","non_legal_applied","2020","33","1","2020470003300","2"
"010006:17-1-000:non_legal_applied:2020","non_legal_applied:33","010006","北海道","17-1-000","non_legal_applied","2020","33","2","2020470003300","1516"
"011002:17-1-000:legal_applied:2020","legal_applied:10","011002","札幌市","17-1-000","legal_applied","2020","10","1","2020460001000","2"
"011002:17-1-000:legal_applied:2020","legal_applied:10","011002","札幌市","17-1-000","legal_applied","2020","10","2","2020460001000","2094"
"011002:17-1-000:legal_applied:2020","legal_applied:20","011002","札幌市","17-1-000","legal_applied","2020","20","1","2020460002000","2865"
"011002:17-1-000:legal_applied:2020","legal_applied:20","011002","札幌市","17-1-000","legal_applied","2020","20","2","2020460002000","7820"
"011002:17-1-000:legal_applied:2020","legal_applied:21","011002","札幌市","17-1-000","legal_applied","2020","21","1","2020460002100","2865"
"011002:17-1-000:legal_applied:2020","legal_applied:21","011002","札幌市","17-1-000","legal_applied","2020","21","2","2020460002100","7820"
"011002:17-1-000:legal_applied:2020","legal_applied:32","011002","札幌市","17-1-000","legal_applied","2020","32","1","2020460003200","2"
"011002:17-1-000:legal_applied:2020","legal_applied:32","011002","札幌市","17-1-000","legal_applied","2020","32","2","2020460003200","2094"
"011002:17-1-000:legal_applied:2020","legal_applied:33","011002","札幌市","17-1-000","legal_applied","2020","33","1","2020460003300","2"
"011002:17-1-000:legal_applied:2020","legal_applied:33","011002","札幌市","17-1-000","legal_applied","2020","33","2","2020460003300","2094"
"012025:17-1-000:legal_applied:2020","legal_applied:10","012025","函館市","17-1-000","legal_applied","2020","10","1","2020460001000","3"
"012025:17-1-000:legal_applied:2020","legal_applied:10","012025","函館市","17-1-000","legal_applied","2020","10","2","2020460001000","2095"
"012025:17-1-000:legal_applied:2020","legal_applied:20","012025","函館市","17-1-000","legal_applied","2020","20","1","2020460002000","2866"
"012025:17-1-000:legal_applied:2020","legal_applied:20","012025","函館市","17-1-000","legal_applied","2020","20","2","2020460002000","7821"
"012025:17-1-000:legal_applied:2020","legal_applied:21","012025","函館市","17-1-000","legal_applied","2020","21","1","2020460002100","2866"
"012025:17-1-000:legal_applied:2020","legal_applied:21","012025","函館市","17-1-000","legal_applied","2020","21","2","2020460002100","7821"
"012025:17-1-000:legal_applied:2020","legal_applied:32","012025","函館市","17-1-000","legal_applied","2020","32","1","2020460003200","3"
"012025:17-1-000:legal_applied:2020","legal_applied:32","012025","函館市","17-1-000","legal_applied","2020","32","2","2020460003200","2095"
"012025:17-1-000:legal_applied:2020","legal_applied:33","012025","函館市","17-1-000","legal_applied","2020","33","1","2020460003300","3"
"012025:17-1-000:legal_applied:2020","legal_applied:33","012025","函館市","17-1-000","legal_applied","2020","33","2","2020460003300","2095"
"012033:17-1-000:legal_applied:2020","legal_applied:10","012033","小樽市","17-1-000","legal_applied","2020","10","1","2020460001000","4"
"012033:17-1-000:legal_applied:2020","legal_applied:10","012033","小樽市","17-1-000","legal_applied","2020","10","2","2020460001000","2096"
"012033:17-1-000:legal_applied:2020","legal_applied:20","012033","小樽市","17-1-000","legal_applied","2020","20","1","2020460002000","2867"
"012033:17-1-000:legal_applied:2020","legal_applied:20","012033","小樽市","17-1-000","legal_applied","2020","20","2","2020460002000","7822"
"012033:17-1-000:legal_applied:2020","legal_applied:21","012033","小樽市","17-1-000","legal_applied","2020","21","1","2020460002100","2867"
"012033:17-1-000:legal_applied:2020","legal_applied:21","012033","小樽市","17-1-000","legal_applied","2020","21","2","2020460002100","7822"
"012033:17-1-000:legal_applied:2020","legal_applied:32","012033","小樽市","17-1-000","legal_applied","2020","32","1","2020460003200","4"
"012033:17-1-000:legal_applied:2020","legal_applied:32","012033","小樽市","17-1-000","legal_applied","2020","32","2","2020460003200","2096"
"012033:17-1-000:legal_applied:2020","legal_applied:33","012033","小樽市","17-1-000","legal_applied","2020","33","1","2020460003300","4"
"012033:17-1-000:legal_applied:2020","legal_applied:33","012033","小樽市","17-1-000","legal_applied","2020","33","2","2020460003300","2096"
"012041:17-1-000:legal_applied:2020","legal_applied:10","012041","旭川市","17-1-000","legal_applied","2020","10","1","2020460001000","5"
"012041:17-1-000:legal_applied:2020","legal_applied:10","012041","旭川市","17-1-000","legal_applied","2020","10","2","2020460001000","2097"
"012041:17-1-000:legal_applied:2020","legal_applied:20","012041","旭川市","17-1-000","legal_applied","2020","20","1","2020460002000","2868"
"012041:17-1-000:legal_applied:2020","legal_applied:20","012041","旭川市","17-1-000","legal_applied","2020","20","2","2020460002000","7823"
"012041:17-1-000:legal_applied:2020","legal_applied:21","012041","旭川市","17-1-000","legal_applied","2020","21","1","2020460002100","2868"
"012041:17-1-000:legal_applied:2020","legal_applied:21","012041","旭川市","17-1-000","legal_applied","2020","21","2","2020460002100","7823"
"012041:17-1-000:legal_applied:2020","legal_applied:32","012041","旭川市","17-1-000","legal_applied","2020","32","1","2020460003200","5"
"012041:17-1-000:legal_applied:2020","legal_applied:32","012041","旭川市","17-1-000","legal_applied","2020","32","2","2020460003200","2097"
"012041:17-1-000:legal_applied:2020","legal_applied:33","012041","旭川市","17-1-000","legal_applied","2020","33","1","2020460003300","5"
"012041:17-1-000:legal_applied:2020","legal_applied:33","012041","旭川市","17-1-000","legal_applied","2020","33","2","2020460003300","2097"
"012050:17-1-000:legal_applied:2020","legal_applied:10","012050","室蘭市","17-1-000","legal_applied","2020","10","1","2020460001000","6"
"012050:17-1-000:legal_applied:2020","legal_applied:10","012050","室蘭市","17-1-000","legal_applied","2020","10","2","2020460001000","2098"
"012050:17-1-000:legal_applied:2020","legal_applied:20","012050","室蘭市","17-1-000","legal_applied","2020","20","1","2020460002000","2869"
"012050:17-1-000:legal_applied:2020","legal_applied:20","012050","室蘭市","17-1-000","legal_applied","2020","20","2","2020460002000","7824"
