"field","label","accounting","fiscalYear","catalogYear","table","row","col","unit","taxBasis","layoutUrl","sourceUrl","sha256","join"
"servicePopulation","処理区域内人口","legal_applied","2020","2021","10","1","11","人","金額以外","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122244&fileKind=0","51fb153cb6f808b51faf45c7bbe9c08928ffb12caed9317c3cc208ecae03ac49","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
"connectedPopulation","水洗化人口","legal_applied","2020","2021","10","1","12","人","金額以外","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122244&fileKind=0","51fb153cb6f808b51faf45c7bbe9c08928ffb12caed9317c3cc208ecae03ac49","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
"treatedVolume","年間汚水処理水量","legal_applied","2020","2021","10","1","50","m³/年","金額以外","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122244&fileKind=0","51fb153cb6f808b51faf45c7bbe9c08928ffb12caed9317c3cc208ecae03ac49","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
"annualBillableVolume","年間有収水量","legal_applied","2020","2021","10","1","52","m³/年","金額以外","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122244&fileKind=0","51fb153cb6f808b51faf45c7bbe9c08928ffb12caed9317c3cc208ecae03ac49","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
"householdFee20m3Yen","一般家庭用20m³月額","legal_applied","2020","2021","33","1","13","円/月・税込","税込","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122264&fileKind=0","9c3ee4f489de62b4066451366e60b78693eea16e39dedc20d0f464247165c8e7","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
"sewerFeeRevenue","使用料収入","legal_applied","2020","2021","20","1","3","千円/年","税抜","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122253&fileKind=0","f019a918c8b36048c1ebe40674d220c454b4f28ccceb5baa9ab0ded5817eae22","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
"wastewaterTreatmentCost","汚水処理費","legal_applied","2020","2021","32","2","16","千円/年","税抜","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122263&fileKind=0","559cf2cd2d37c0b4fb46f598cb43c833e0da70d6bda1849bb55b90d4bbbf1e56","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
"opexComponent","維持管理費分","legal_applied","2020","2021","32","1","44","千円/年","税抜","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122263&fileKind=0","559cf2cd2d37c0b4fb46f598cb43c833e0da70d6bda1849bb55b90d4bbbf1e56","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
"capitalCostComponent","資本費分","legal_applied","2020","2021","32","2","8","千円/年","税抜","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122263&fileKind=0","559cf2cd2d37c0b4fb46f598cb43c833e0da70d6bda1849bb55b90d4bbbf1e56","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
"operating_expense","営業費用","legal_applied","2020","2021","20","1","26","千円","税抜","https://www.e-stat.go.jp/stat-search/file-download?fileKind=0&statInfId=000032122216","https://www.e-stat.go.jp/stat-search/file-download?&statInfId=000032122253&fileKind=0","f019a918c8b36048c1ebe40674d220c454b4f28ccceb5baa9ab0ded5817eae22","団体コード＋業種17＋事業1＋施設コード＋会計＋決算年度2020"
