"id","label","unit","definition"
"rowId","行識別子","","自治体コード・事業キー・会計区分・決算年度の組合せ"
"municipalityCode","自治体コード","文字列","先頭ゼロを含む6桁コード。表計算ソフトでは文字列列として取り込む"
"prefectureName","都道府県","","収録された都道府県名"
"municipalityName","自治体名","","収録された自治体名。同名でもコードで区別"
"businessKey","事業キー","文字列","自治体内の事業識別子"
"accountingType","会計区分","","legal_applied=法適用、non_legal_applied=法非適用（料金指標の参考比較）"
"fiscalYear","決算年度","西暦年度","カタログ年・公表年とは別。過年度による補完なし"
"expenseRecoveryRate","経費回収率","%","下水道使用料収入 ÷ 汚水処理費 × 100"
"feeUnitPriceYenPerM3","使用料単価","円/m³","下水道使用料収入（千円） × 1000 ÷ 年間有収水量（m³）"
"treatmentCostYenPerM3","汚水処理原価","円/m³","汚水処理費（千円） × 1000 ÷ 年間有収水量（m³）"
"expenseRecoveryRank","経費回収率の低い順の順位","位","同じ母集団の有効値を保存精度で比較。同値は1,2,2,4。欠損は順位なし"
"qualityStatus","自動チェック状態","","既存の取込状態。okも原資料全件照合を意味しない"
"qualityFlags","自動チェックの注意","","既存の注意理由。原資料との不一致を確定したものではない"
